type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,combined_features,normalized_title
Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,"September 15, 2021",2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies","when naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.","when naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil. Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa Masahiko Murata",naruto shippuden: the movie: the lost tower
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,"September 15, 2021",2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies","while on a mission to return a missing pet, naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic temujin.","while on a mission to return a missing pet, naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic temujin. Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda Hirotsugu Kawasaki",naruto the movie 2: legend of the stone of gelel
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",Japan,"September 15, 2021",2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies","exuberant ninja naruto teams up with his pals sakura and kakashi to escort prince michiru and his son, hikaru, to the crescent moon kingdom.","exuberant ninja naruto teams up with his pals sakura and kakashi to escort prince michiru and his son, hikaru, to the crescent moon kingdom. Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa Toshiyuki Tsuru",naruto the movie 3: guardians of the crescent moon kingdom
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",Japan,"September 15, 2021",2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies","naruto, sasuke and sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.","naruto, sasuke and sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess. Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa Tensai Okamura",naruto the movie: ninja clash in the land of snow
Movie,Nightbooks,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",,"September 15, 2021",2021,TV-PG,103 min,Children & Family Movies,scary story fan alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,"scary story fan alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever. Winslow Fegley, Lidya Jewett, Krysten Ritter David Yarovesky",nightbooks
Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,,"September 15, 2021",2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies","through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time formula 1 champion michael schumacher.","through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time formula 1 champion michael schumacher. Michael Schumacher Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",schumacher
Movie,A StoryBots Space Adventure,David A. Vargas,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",,"September 14, 2021",2021,TV-Y,13 min,Children & Family Movies,join the storybots and the space travelers of the historic inspiration4 mission as they search for answers to kids' questions about space.,"join the storybots and the space travelers of the historic inspiration4 mission as they search for answers to kids' questions about space. Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux David A. Vargas",a storybots space adventure
Movie,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,"September 14, 2021",2018,TV-MA,182 min,"Dramas, International Movies","when a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.","when a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything. Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja Kemi Adetiba",king of boys
Movie,You vs. Wild: Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",,"September 14, 2021",2021,TV-G,106 min,Children & Family Movies,"after a plane crash leaves bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.","after a plane crash leaves bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure. Bear Grylls, Jason Derek Prempeh Ben Simms",you vs. wild: out cold
Movie,Little Singham - Black Shadow,Prakash Satam,"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey",,"September 11, 2021",2021,TV-Y7,48 min,"Children & Family Movies, Comedies",kid cop little singham loses all his superpowers while trying to stop the demon kaal’s new evil plans! can his inner strength help him defeat the enemy?,"kid cop little singham loses all his superpowers while trying to stop the demon kaal’s new evil plans! can his inner strength help him defeat the enemy? Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey Prakash Satam",little singham - black shadow
Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",,"September 11, 2021",2020,TV-14,145 min,"Comedies, Dramas, International Movies",a budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,"a budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move. Vijay Sethupathi, Parthiban, Raashi Khanna Delhiprasad Deenadayalan",tughlaq durbar
Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",,"September 11, 2021",2021,TV-14,145 min,"Comedies, Dramas, International Movies",a budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,"a budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move. Vijay Sethupathi, Parthiban, Raashi Khanna Delhiprasad Deenadayalan",tughlaq durbar (telugu)
Movie,Firedrake the Silver Dragon,Tomer Eshed,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie",,"September 10, 2021",2021,TV-Y7,93 min,Children & Family Movies,"when his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.","when his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free. Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie Tomer Eshed",firedrake the silver dragon
Movie,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,"September 10, 2021",2021,R,106 min,Action & Adventure,"slipped a fatal poison on her final job, a ruthless assassin working in tokyo has less than 24 hours to find out who ordered the hit and exact revenge.","slipped a fatal poison on her final job, a ruthless assassin working in tokyo has less than 24 hours to find out who ordered the hit and exact revenge. Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau Cedric Nicolas-Troyan",kate
Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele","Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",Nigeria,"September 10, 2021",2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas","twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.","twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them. Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs JJC Skillz, Funke Akindele",omo ghetto: the saga
Movie,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",,"September 10, 2021",2021,TV-MA,87 min,"International Movies, Thrillers",a hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,"a hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter. David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach Thomas Sieben",prey
Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",,"September 9, 2021",2021,PG-13,96 min,"Documentaries, Sports Movies","from a chance meeting to a tragic fallout, malcolm x and muhammad ali's extraordinary bond cracks under the weight of distrust and shifting ideals.","from a chance meeting to a tragic fallout, malcolm x and muhammad ali's extraordinary bond cracks under the weight of distrust and shifting ideals. Malcolm X, Muhammad Ali Marcus Clarke",blood brothers: malcolm x & muhammad ali
Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath","Spain, United States","September 9, 2021",2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers","uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. that’s bad enough, but its real purpose is even worse.","uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. that’s bad enough, but its real purpose is even worse. Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath Alice Waddington",paradise hills
Movie,JJ+E,Alexis Almström,"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi",,"September 8, 2021",2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies","elisabeth and john-john live in the same city, but they inhabit different worlds. can a passionate first love break through class and cultural barriers?","elisabeth and john-john live in the same city, but they inhabit different worlds. can a passionate first love break through class and cultural barriers? Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi Alexis Almström",jj+e
Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale","United Kingdom, United States","September 8, 2021",2018,PG,90 min,"Children & Family Movies, Comedies",a rough and tough police dog must go undercover with an fbi agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,"a rough and tough police dog must go undercover with an fbi agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale. Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale Raja Gosnell",show dogs
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,"September 7, 2021",2018,TV-MA,97 min,"Documentaries, Music & Musicals","using interviews and archival footage, this documentary charts the story of the legendary southern rockers with a focus on front man ronnie van zant.","using interviews and archival footage, this documentary charts the story of the legendary southern rockers with a focus on front man ronnie van zant. Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant Stephen Kijak",if i leave here tomorrow: a film about lynyrd skynyrd
Movie,Shadow Parties,Yemi Amodu,"Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq, Sola Sobowale, Ken Erics, Toyin Aimakhu, Segun Arinze, Jibola Dabo, Rotimi Salami, Pa Jimi Solanke, Rachael Okonkwo, Bassey Okon, Lucien Morgan, Magdalena Korpas",,"September 6, 2021",2020,TV-MA,117 min,"Dramas, International Movies, Thrillers",a family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,"a family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals. Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq, Sola Sobowale, Ken Erics, Toyin Aimakhu, Segun Arinze, Jibola Dabo, Rotimi Salami, Pa Jimi Solanke, Rachael Okonkwo, Bassey Okon, Lucien Morgan, Magdalena Korpas Yemi Amodu",shadow parties
Movie,Angamaly Diaries,Lijo Jose Pellissery,"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese",India,"September 5, 2021",2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas","after growing up amidst the gang wars of his hometown, vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.","after growing up amidst the gang wars of his hometown, vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law. Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese Lijo Jose Pellissery",angamaly diaries
